t,x,y,z,tx1,tx2,tx3,tx4,tx5,tx6,tx7,tx8,tx9,tx10,tx11,tx12,tx13,tx14,tx15,tx16,tx17,tx18,tx19,tx20,tx21,tx22,tx23,tx24,tx25
1667897338100.0,332.7,-138.63,100.94,-60.0,-255.0,-255.0,-62.0,-255.0,-255.0,-255.0,-61.0,-255.0,-255.0,-67.0,-255.0,-255.0,-54.0,-255.0,-255.0,-255.0,-61.0,-255.0,-255.0,-255.0,-47.0,-255.0,-255.0,-66.0
1667897338221.0,329.5,-134.07,98.41,-61.0,-255.0,-255.0,-255.0,-57.0,-255.0,-255.0,-64.0,-255.0,-255.0,-255.0,-69.0,-255.0,-255.0,-255.0,-72.0,-255.0,-255.0,-72.0,-255.0,-255.0,-255.0,-68.0,-255.0,-255.0
1667897338336.0,327.27,-130.89,98.16,-61.0,-255.0,-71.0,-255.0,-255.0,-255.0,-45.0,-255.0,-255.0,-66.0,-255.0,-255.0,-255.0,-71.0,-255.0,-255.0,-255.0,-73.0,-255.0,-255.0,-59.0,-255.0,-255.0,-255.0,-66.0
1667897338453.0,314.65,-126.92,95.75,-60.0,-255.0,-255.0,-60.0,-255.0,-255.0,-255.0,-68.0,-255.0,-255.0,-65.0,-255.0,-255.0,-255.0,-255.0,-255.0,-255.0,-75.0,-255.0,-255.0,-255.0,-63.0,-255.0,-255.0,-66.0
1667897338575.0,296.73,-121.0,93.34,-60.0,-255.0,-255.0,-255.0,-57.0,-255.0,-255.0,-67.0,-255.0,-255.0,-255.0,-68.0,-255.0,-255.0,-76.0,-255.0,-255.0,-76.0,-255.0,-255.0,-255.0,-48.0,-255.0,-255.0,-255.0
1667897338695.0,271.1,-115.92,96.67,-61.0,-54.0,-255.0,-255.0,-56.0,-255.0,-255.0,-66.0,-71.0,-255.0,-66.0,-255.0,-255.0,-255.0,-72.0,-255.0,-255.0,-74.0,-255.0,-255.0,-72.0,-255.0,-255.0,-68.0,-255.0
1667897338825.0,240.97,-112.12,100.93,-44.0,-255.0,-255.0,-63.0,-255.0,-255.0,-64.0,-255.0,-255.0,-67.0,-255.0,-255.0,-69.0,-255.0,-255.0,-255.0,-63.0,-255.0,-255.0,-76.0,-255.0,-255.0,-255.0,-68.0,-255.0
1667897338961.0,213.89,-108.59,102.19,-255.0,-255.0,-72.0,-255.0,-255.0,-255.0,-64.0,-255.0,-255.0,-255.0,-68.0,-255.0,-255.0,-67.0,-255.0,-255.0,-255.0,-70.0,-255.0,-255.0,-255.0,-64.0,-255.0,-255.0,-255.0
1667897339064.0,204.77,-104.35,100.27,-62.0,-57.0,-255.0,-255.0,-52.0,-255.0,-255.0,-255.0,-68.0,-255.0,-255.0,-68.0,-255.0,-255.0,-255.0,-69.0,-68.0,-255.0,-255.0,-73.0,-255.0,-255.0,-255.0,-68.0,-255.0
1667897339175.0,201.51,-99.6,99.93,-62.0,-255.0,-255.0,-60.0,-255.0,-255.0,-255.0,-66.0,-255.0,-255.0,-255.0,-69.0,-255.0,-255.0,-70.0,-255.0,-255.0,-255.0,-255.0,-255.0,-255.0,-255.0,-68.0,-255.0,-255.0
